fsi_id,gc_fsi_vixc_lag1,gc_fsi_vixc_lag2,gc_fsi_vixc_lag3,gc_fsi_vixc_lag4,gc_fsi_vixc_lag5,gc_fsi_vixc_lag6,gc_fsi_vixc_lag7,gc_fsi_vixc_lag8,gc_fsi_vixc_lag9,gc_fsi_vixc_lag10,gc_fsi_vixc_lag11,gc_fsi_vixc_lag12,gc_fsi_vixc_lag13,gc_fsi_vixc_lag14,gc_fsi_vixc_lag15,gc_fsi_vixc_lag16,gc_fsi_vixc_lag17,gc_fsi_vixc_lag18,gc_fsi_vixc_lag19,gc_fsi_vixc_lag20,gc_fsi_vixc_lag21,gc_fsi_vixc_lag22,gc_fsi_vixc_lag23,gc_fsi_vixc_lag24,gc_fsi_vixc_lag25,gc_fsi_vixc_lag26,gc_fsi_vixc_lag27,gc_fsi_vixc_lag28,gc_fsi_vixc_lag29,gc_fsi_vixc_lag30
fsi_2a9d11949be8,0.610091,0.51541,0.654019,0.752367,0.919659,0.634785,0.68906,0.701659,0.772237,0.466124,0.548745,0.561435,0.540525,0.46962,0.372728,0.386387,0.425022,0.481276,0.465615,0.541034,0.579719,0.606105,0.62557,0.589598,0.646978,0.693533,0.713465,0.717847,0.721405,0.659374
fsi_fc799d499e79,0.01497,0.00989,0.021009,0.035049,0.066065,0.057625,0.096957,0.102255,0.081879,0.101729,0.085045,0.133809,0.061196,0.092933,0.112664,0.137449,0.154107,0.189903,0.2462,0.247801,0.286865,0.328962,0.348607,0.289829,0.342762,0.342942,0.380422,0.122236,0.103054,0.119727
fsi_34f55319e5f8,0.021351,0.014592,0.031263,0.046661,0.093995,0.085781,0.134449,0.153721,0.129082,0.165144,0.149639,0.218829,0.118165,0.167134,0.18618,0.214217,0.233848,0.272713,0.335123,0.338899,0.380925,0.429586,0.451264,0.364927,0.42284,0.429899,0.472902,0.150416,0.130306,0.15055
fsi_0c83e2c67360,0.065243,0.067089,0.116838,0.130112,0.174949,0.103701,0.163328,0.243611,0.217604,0.243275,0.266033,0.293263,0.097496,0.146322,0.122071,0.111631,0.145946,0.175478,0.193031,0.211481,0.260242,0.286439,0.315755,0.240698,0.287648,0.322459,0.380308,0.24469,0.185654,0.201634
fsi_3cb80064d46d,0.030711,0.019806,0.041054,0.073212,0.114269,0.094301,0.149316,0.151249,0.106826,0.123987,0.106291,0.156025,0.047957,0.076737,0.099958,0.119729,0.134475,0.165431,0.226688,0.230046,0.270407,0.315296,0.349609,0.30334,0.355709,0.344894,0.384384,0.143269,0.127654,0.150623
fsi_d6122e18acdc,0.015313,0.010769,0.023092,0.035242,0.07326,0.064988,0.106438,0.117587,0.089538,0.117637,0.104769,0.158604,0.084366,0.122683,0.138986,0.169292,0.188271,0.224608,0.286553,0.283192,0.326419,0.369346,0.384722,0.306331,0.36056,0.368239,0.409902,0.140458,0.116456,0.133494
fsi_6d23cb12317d,0.023591,0.016536,0.03546,0.0527,0.102822,0.088191,0.136467,0.158653,0.125306,0.157244,0.145765,0.211728,0.09959,0.144021,0.162916,0.19057,0.213708,0.246051,0.305997,0.308888,0.351913,0.398176,0.425204,0.346756,0.403683,0.400719,0.443023,0.142634,0.128042,0.150347
fsi_0cbb9ebbb904,0.071742,0.074916,0.12523,0.134792,0.180218,0.109305,0.171399,0.260807,0.245907,0.2792,0.311189,0.336801,0.123992,0.180746,0.141972,0.12924,0.167233,0.200287,0.216271,0.234341,0.286335,0.315654,0.345439,0.256994,0.306966,0.347767,0.407179,0.249861,0.190052,0.204663
fsi_30bbf9aadcba,0.015261,0.010385,0.022576,0.035042,0.070529,0.059561,0.098635,0.107512,0.082445,0.104666,0.093276,0.143086,0.072386,0.107275,0.127143,0.157268,0.175142,0.211952,0.274374,0.269014,0.312475,0.355789,0.368467,0.302635,0.356548,0.36601,0.409642,0.137123,0.11389,0.130626
fsi_1ba98ddc80f2,0.148345,0.150084,0.186041,0.033558,0.116215,0.119611,0.152807,0.235492,0.24188,0.241905,0.236216,0.2407,0.033433,0.052859,0.059276,0.019456,0.018488,0.037801,0.042158,0.055431,0.06376,0.054792,0.061287,0.06462,0.059876,0.071562,0.086094,0.110894,0.070893,0.087755
fsi_5548174188e6,0.073957,0.075396,0.128275,0.163585,0.201043,0.115012,0.179475,0.267291,0.23229,0.25328,0.279439,0.323197,0.097002,0.147452,0.139101,0.118201,0.153261,0.184106,0.202506,0.223631,0.272568,0.297137,0.343837,0.268436,0.317783,0.345855,0.404178,0.277589,0.221663,0.241276
fsi_0ce011bc880e,0.014783,0.009778,0.021774,0.035067,0.068952,0.057364,0.095323,0.101878,0.080053,0.099407,0.086808,0.134961,0.067857,0.101956,0.122664,0.154234,0.170746,0.207417,0.273299,0.268071,0.313373,0.358097,0.372881,0.311568,0.365958,0.369672,0.410829,0.144133,0.120435,0.138205
