fsi_id,epu_low_regime_idx,epu_markov_converged,epu_markov_finite_bse,epu_fsi_beta_low,epu_fsi_beta_high,epu_fsi_beta_low_se,epu_fsi_beta_high_se,epu_fsi_beta_low_p,epu_fsi_beta_high_p,epu_fsi_beta_high_positive,epu_fsi_beta_high_sig_5pct,epu_fsi_beta_amplification,epu_fsi_msr_conditions_pass,cfsi_low_regime_idx,cfsi_markov_converged,cfsi_markov_finite_bse,cfsi_fsi_beta_low,cfsi_fsi_beta_high,cfsi_fsi_beta_low_se,cfsi_fsi_beta_high_se,cfsi_fsi_beta_low_p,cfsi_fsi_beta_high_p,cfsi_fsi_beta_high_positive,cfsi_fsi_beta_high_sig_5pct,cfsi_fsi_beta_amplification,cfsi_fsi_msr_conditions_pass,vixc_low_regime_idx,vixc_markov_converged,vixc_markov_finite_bse,vixc_fsi_beta_low,vixc_fsi_beta_high,vixc_fsi_beta_low_se,vixc_fsi_beta_high_se,vixc_fsi_beta_low_p,vixc_fsi_beta_high_p,vixc_fsi_beta_high_positive,vixc_fsi_beta_high_sig_5pct,vixc_fsi_beta_amplification,vixc_fsi_msr_conditions_pass
fsi_d602b9907774,0,True,True,0.04731281394,0.3707661526,0.08974695856,0.2587856491,0.5980685006,0.1519392223,True,False,True,False,0,True,True,0.003804601625,0.3130340959,0.0441227743,0.1243307067,0.9312854783,0.01181058805,True,True,True,True,0,True,True,0.008902621752,0.113290664,0.006593736007,0.0453470513,0.1769635401,0.01247895607,True,True,True,True
fsi_57cdc70b0593,0,True,True,0.0481433952,0.4287527312,0.08774489152,0.2528739852,0.5832287651,0.08997694552,True,False,True,False,0,True,True,-0.001227864814,0.3057039619,0.0433644252,0.1247166465,0.9774108966,0.01423855181,True,True,True,True,0,True,True,0.008419534167,0.1154505666,0.006630406196,0.04503489496,0.2041427489,0.01035987527,True,True,True,True
fsi_70b69f461192,0,True,True,0.04563044008,0.4281098508,0.08863101575,0.2527784087,0.6066676072,0.09033805497,True,False,True,False,0,True,True,0.0002220695364,0.3087119633,0.04353882619,0.1249516701,0.995930412,0.01348673832,True,True,True,True,0,True,True,0.008384787359,0.114799338,0.00663404456,0.04497848709,0.206264924,0.01070092394,True,True,True,True
fsi_340d94cb5c0c,0,True,True,0.04915996214,0.4274936966,0.08686664887,0.2526213228,0.5714451269,0.09060189055,True,False,True,False,0,True,True,-0.001330392997,0.30310704,0.04309590778,0.1241075671,0.9753728019,0.01459429726,True,True,True,True,0,True,True,0.008512307382,0.11557484,0.006631018199,0.0450484042,0.1992432853,0.01030063974,True,True,True,True
fsi_07e09ac0e27a,0,True,True,0.04420776704,0.432759958,0.08627375,0.2781944494,0.6083621894,0.1198026635,True,False,True,False,0,True,True,-0.1035304486,0.3342213685,0.07507382995,0.09226538863,0.1678798172,0.0002918917959,True,True,True,True,0,True,True,0.006943560361,0.1340371232,0.007116465548,0.04523393251,0.3292114161,0.003044601126,True,True,True,True
fsi_0f2b9a8f7c4b,0,True,True,0.04440244354,0.4477559005,0.08536887978,0.2754426083,0.6029768226,0.1040375601,True,False,True,False,0,True,True,-0.1124908818,0.3338603666,0.07727704247,0.09188275331,0.1454802543,0.0002795507413,True,True,True,True,0,True,True,0.007190683164,0.1321258966,0.00714296651,0.04516980469,0.314088466,0.003443528772,True,True,True,True
fsi_392d7b0b7e7e,0,True,True,0.0426491573,0.4441881385,0.08599489939,0.2753172894,0.6199297952,0.1066645543,True,False,True,False,0,True,True,-0.1115253118,0.3337139791,0.07386565051,0.09177235568,0.1310842624,0.0002765569181,True,True,True,True,0,True,True,0.006819379267,0.1313836489,0.007142639077,0.04507726344,0.3397080608,0.003561078142,True,True,True,True
fsi_fc59b8b8d490,0,True,True,0.04049771622,0.4169231908,0.08662071534,0.2808516896,0.6401212854,0.1376774015,True,False,True,False,0,True,True,-0.1025460374,0.3326164068,0.0665315005,0.09250177359,0.1232400022,0.0003234159503,True,True,True,True,0,True,True,0.00729459277,0.131920478,0.007129321205,0.04505486651,0.3062218257,0.003411542122,True,True,True,True
fsi_4d786babc82a,0,True,True,0.04312081475,0.3771388862,0.08685421541,0.2826309322,0.6195603922,0.1820772385,True,False,True,False,0,True,True,-0.09346972295,0.3306716098,0.0608645427,0.09306641818,0.1246117947,0.0003807613981,True,True,True,True,0,True,True,0.007560593002,0.130593287,0.00710855074,0.04511200305,0.2875138675,0.003793181922,True,True,True,True
fsi_559936205476,0,True,True,0.04453483594,0.449301533,0.08494230843,0.2762410155,0.6000733057,0.1038467796,True,False,True,False,0,True,True,0.001620615891,0.2352705079,0.0430252529,0.1126825501,0.9699534897,0.03680636652,True,True,True,True,0,True,True,0.007285471812,0.1321490342,0.007141490772,0.0452493171,0.3076520146,0.003495097675,True,True,True,True
fsi_48cecf0e2916,0,True,True,0.0496495433,0.3250476394,0.08600141504,0.3021619235,0.5637295382,0.2820435945,True,False,True,False,0,True,True,0.007463447713,0.2489748401,0.04455689763,0.1123921712,0.8669736923,0.02674407985,True,True,True,True,0,True,True,0.009698072395,0.1355473878,0.007019069223,0.04584680139,0.1670715171,0.003111231942,True,True,True,True
fsi_da7dfa2af96f,0,True,True,0.2239948246,0.01598458379,0.08136272563,0.2467430448,0.005904471159,0.9483473284,True,False,False,False,0,True,True,-0.001948899539,0.2325486062,0.03217367033,0.1147755452,0.9516981926,0.04275286513,True,True,True,True,0,True,True,-0.01107230091,0.1673805535,0.008322801295,0.04633536144,0.1834005187,0.0003034091049,True,True,True,True
fsi_ad176e16db7d,0,True,True,0.1266324352,0.4739864143,0.09790674088,0.263380339,0.1958732567,0.0719195279,True,False,True,False,0,True,True,0.09174489448,0.3676887308,0.05886814368,0.1618291824,0.1191192241,0.02308172287,True,True,True,True,0,True,True,-0.004707599542,0.1481019519,0.006477925895,0.04554180178,0.4674011656,0.001145959114,True,True,True,True
fsi_b9394046f2cb,0,True,True,0.1458025121,0.2281878345,0.06964437738,0.2038915699,0.03630197298,0.2630707464,True,False,True,False,1,True,True,0.4192687586,-0.02885559293,0.1171984284,0.0591908892,0.0003469938013,0.6259036305,False,False,False,False,0,True,True,0.004136468562,0.1305186652,0.007535279881,0.03842628528,0.5830418883,0.0006822898139,True,True,True,True
fsi_e8cb5ccf3ad0,0,True,True,0.127732709,0.4732005454,0.09783281514,0.2619283024,0.1916810196,0.0708241487,True,False,True,False,0,True,True,0.08931351929,0.3609186757,0.05662178816,0.1559714469,0.1147103764,0.02066745925,True,True,True,True,0,True,True,-0.00523759545,0.1476328049,0.006489804736,0.0454755059,0.4196378069,0.001168643654,True,True,True,True
fsi_997f36dd5344,0,True,True,-0.3012247796,0.5877913595,0.1386913621,0.1586311504,0.02986265699,0.0002110600403,True,True,True,True,0,True,True,0.01210203639,0.2303070558,0.04810552538,0.1393265799,0.8013713706,0.09833054338,True,False,True,False,0,True,True,-0.009559557334,0.1098007868,0.008657134621,0.0423125759,0.269488892,0.009459318043,True,True,True,True
