fsi_id,gc_fsi_epu_lag1,gc_fsi_epu_lag2,gc_fsi_epu_lag3,gc_fsi_epu_lag4,gc_fsi_epu_lag5,gc_fsi_epu_lag6,gc_fsi_epu_lag7,gc_fsi_epu_lag8,gc_fsi_epu_lag9,gc_fsi_epu_lag10,gc_fsi_epu_lag11,gc_fsi_epu_lag12,gc_epu_fsi_lag1,gc_epu_fsi_lag2,gc_epu_fsi_lag3,gc_epu_fsi_lag4,gc_epu_fsi_lag5,gc_epu_fsi_lag6,gc_epu_fsi_lag7,gc_epu_fsi_lag8,gc_epu_fsi_lag9,gc_epu_fsi_lag10,gc_epu_fsi_lag11,gc_epu_fsi_lag12,gc_fsi_cfsi_lag1,gc_fsi_cfsi_lag2,gc_fsi_cfsi_lag3,gc_fsi_cfsi_lag4,gc_fsi_cfsi_lag5,gc_fsi_cfsi_lag6,gc_fsi_cfsi_lag7,gc_fsi_cfsi_lag8,gc_fsi_cfsi_lag9,gc_fsi_cfsi_lag10,gc_fsi_cfsi_lag11,gc_fsi_cfsi_lag12,gc_cfsi_fsi_lag1,gc_cfsi_fsi_lag2,gc_cfsi_fsi_lag3,gc_cfsi_fsi_lag4,gc_cfsi_fsi_lag5,gc_cfsi_fsi_lag6,gc_cfsi_fsi_lag7,gc_cfsi_fsi_lag8,gc_cfsi_fsi_lag9,gc_cfsi_fsi_lag10,gc_cfsi_fsi_lag11,gc_cfsi_fsi_lag12,gc_fsi_vixc_lag1,gc_fsi_vixc_lag2,gc_fsi_vixc_lag3,gc_fsi_vixc_lag4,gc_fsi_vixc_lag5,gc_fsi_vixc_lag6,gc_fsi_vixc_lag7,gc_fsi_vixc_lag8,gc_fsi_vixc_lag9,gc_fsi_vixc_lag10,gc_fsi_vixc_lag11,gc_fsi_vixc_lag12,gc_fsi_vixc_lag13,gc_fsi_vixc_lag14,gc_fsi_vixc_lag15,gc_fsi_vixc_lag16,gc_fsi_vixc_lag17,gc_fsi_vixc_lag18,gc_fsi_vixc_lag19,gc_fsi_vixc_lag20,gc_fsi_vixc_lag21,gc_fsi_vixc_lag22,gc_fsi_vixc_lag23,gc_fsi_vixc_lag24,gc_fsi_vixc_lag25,gc_fsi_vixc_lag26,gc_fsi_vixc_lag27,gc_fsi_vixc_lag28,gc_fsi_vixc_lag29,gc_fsi_vixc_lag30
fsi_78e3d6be824a,0.800763,0.145524,0.083208,0.097547,0.090421,0.005135,0.015354,0.020525,0.031819,0.000905,0.00122,0.00029,0.091864,0.001497,0,0,0,0,0,0,0,0,0,0,0.933001,0.417783,0.366587,0.379005,0.508329,0.396814,0.264319,0.292818,0.343795,0.301381,0.2943,0.192712,0.208501,0.434884,0.547303,0.499292,0.725844,0.386951,0.446954,0.466755,0.28332,0.290209,0.353593,0.351829,0.892553,0.45899,0.58032,0.625571,0.852311,0.905981,0.935501,0.954327,0.862255,0.924161,0.95302,0.977405,0.957216,0.88864,0.920936,0.927578,0.953691,0.965451,0.950187,0.96319,0.968702,0.835761,0.855389,0.873663,0.919132,0.945086,0.957777,0.970872,0.967647,0.969812
fsi_778c90dc7983,0.284363,0.504242,0.650226,0.761401,0.307371,0.327534,0.228617,0.105433,0.121323,0.167212,0.160834,0.131141,0.093921,0.000136,0,0,0,0,0,0,0,0,0,0,0.579847,0.822187,0.54092,0.513208,0.579537,0.36191,0.293642,0.351925,0.446792,0.509712,0.443236,0.371705,0.242538,0.587008,0.789148,0.570647,0.708737,0.815787,0.890961,0.82153,0.593326,0.637941,0.713062,0.203796,0.021671,0.057372,0.075391,0.10581,0.085043,0.109055,0.167101,0.203736,0.221208,0.162925,0.219028,0.267033,0.277774,0.338655,0.372317,0.396591,0.436055,0.440789,0.495735,0.541873,0.42003,0.491592,0.545787,0.556144,0.661249,0.60204,0.613489,0.525189,0.561189,0.344934
fsi_6fa7412a955f,0.758893,0.150107,0.084591,0.128913,0.09109,0.003636,0.011243,0.014247,0.019701,0.000414,0.000668,0.000199,0.112749,0.000907,0,0,0,0,0,0,0,0,0,0,0.896784,0.493207,0.436292,0.384269,0.480649,0.397187,0.286979,0.263836,0.327005,0.293047,0.282708,0.17153,0.194858,0.424475,0.571447,0.542748,0.718385,0.370491,0.420435,0.387833,0.257487,0.249613,0.318239,0.221255,0.826462,0.383439,0.500028,0.55932,0.782729,0.854835,0.905672,0.927376,0.849717,0.908294,0.944179,0.971628,0.941136,0.822858,0.865634,0.867522,0.908019,0.928985,0.913931,0.931411,0.942284,0.812458,0.836268,0.859376,0.910161,0.93957,0.953853,0.964741,0.959414,0.963117
fsi_c6c118e2b681,0.693294,0.314374,0.114372,0.149243,0.205664,0.003364,0.009923,0.009325,0.018064,0.000222,0.000366,9.3e-05,0.092031,0.000366,0,0,0,0,0,0,0,0,0,0,0.823088,0.349199,0.36889,0.397099,0.498792,0.407792,0.284116,0.281144,0.338037,0.300064,0.292161,0.191917,0.206612,0.445491,0.58815,0.530989,0.731327,0.394861,0.447122,0.445914,0.295047,0.301058,0.37405,0.33276,0.897466,0.341978,0.443882,0.508522,0.782465,0.853418,0.897901,0.921079,0.826392,0.897782,0.937085,0.967877,0.940299,0.830848,0.869502,0.877154,0.915984,0.934828,0.926917,0.942367,0.952745,0.826992,0.848391,0.869097,0.914912,0.943014,0.955027,0.968144,0.964035,0.968093
fsi_a8db56b62a8f,0.583217,0.3844,0.357799,0.093222,0.209447,0.346589,0.308521,0.24178,0.347292,0.368168,0.31449,0.438407,0.105192,0.001368,1e-05,0,0,0,0,0,1e-06,5e-06,2e-06,1e-06,0.097322,0.16075,0.127963,0.099168,0.176201,0.061188,0.060764,0.119933,0.096765,0.135085,0.177916,0.170696,0.189681,0.325053,0.391042,0.579917,0.20512,0.462583,0.431467,0.415064,0.420347,0.293111,0.216112,0.150178,0.099241,0.061615,0.138732,0.191793,0.270786,0.320712,0.420686,0.545063,0.628095,0.648031,0.623601,0.674123,0.457909,0.580738,0.657548,0.741412,0.773561,0.781592,0.79895,0.696798,0.6249,0.675741,0.700571,0.690753,0.751653,0.799422,0.824897,0.844456,0.863133,0.884394
fsi_afbe544eb328,0.83562,0.295201,0.068716,0.011879,0.023232,0.015868,0.027572,0.024857,0.040282,0.073529,0.088938,0.047123,0.058551,0,0,0,0,0,0,0,0,0,0,0,0.743378,0.920275,0.924177,0.933828,0.390478,0.371658,0.302887,0.327376,0.44578,0.448189,0.512344,0.480029,0.288835,0.692944,0.816918,0.915844,0.957136,0.884472,0.912866,0.935022,0.964007,0.882262,0.927345,0.793566,0.413224,0.365835,0.340686,0.441646,0.564775,0.653365,0.753664,0.852,0.757372,0.767303,0.830783,0.87987,0.904803,0.923478,0.837665,0.874054,0.915021,0.915382,0.938774,0.959272,0.96306,0.958596,0.965996,0.955506,0.972503,0.97246,0.968944,0.976461,0.982994,0.97555
fsi_cad20c06dc8d,0.249687,0.464782,0.581887,0.720712,0.230823,0.240969,0.140678,0.057917,0.068047,0.089296,0.086244,0.072218,0.089764,0.000127,0,0,0,0,0,0,0,0,0,0,0.556443,0.81344,0.503555,0.505848,0.589235,0.354418,0.256722,0.304858,0.377418,0.473252,0.377924,0.294351,0.249166,0.585242,0.786492,0.60856,0.761345,0.854754,0.917966,0.865856,0.612785,0.670118,0.752089,0.251006,0.023535,0.056921,0.074165,0.112181,0.108807,0.145828,0.216318,0.260555,0.285745,0.240051,0.311024,0.372112,0.391261,0.463061,0.511878,0.548169,0.586724,0.57008,0.624987,0.6559,0.52034,0.592484,0.64466,0.659592,0.751589,0.67559,0.676846,0.624742,0.656369,0.424204
fsi_b93b14fb4c45,0.454308,0.154915,0.191354,0.260561,0.222345,0.382401,0.40955,0.368906,0.363172,0.452349,0.519349,0.498284,0.62653,0.754687,0.551668,0.392745,0.500931,0.456051,0.504678,0.570295,0.434781,0.376739,0.154922,0.161307,0.915332,0.909357,0.916072,0.883192,0.944387,0.637833,0.602697,0.680624,0.36777,0.423913,0.564078,0.539056,0.450575,0.828788,0.918291,0.748151,0.686487,0.671537,0.729995,0.617382,0.80672,0.821303,0.617913,0.404247,0.812877,0.638189,0.63353,0.61991,0.795297,0.867056,0.910937,0.941419,0.532183,0.652663,0.717639,0.800761,0.742027,0.767665,0.536453,0.525452,0.510897,0.615357,0.673949,0.730531,0.767435,0.804937,0.828122,0.801913,0.846223,0.823118,0.862566,0.670251,0.614312,0.639324
fsi_6ffaa96d43e2,0.958622,0.481871,0.140051,0.025905,0.011399,0.000369,0.001058,0.001077,0.006014,0.002402,0.004963,0.000971,0.075236,0,0,0,0,0,0,0,0,0,0,0,0.645503,0.850025,0.906774,0.951289,0.592277,0.506545,0.485018,0.55004,0.682344,0.611892,0.478477,0.330648,0.388733,0.691786,0.836707,0.889223,0.881372,0.773083,0.878814,0.910486,0.951962,0.885547,0.888294,0.757729,0.434617,0.364498,0.500941,0.638026,0.767745,0.772423,0.849052,0.859042,0.811691,0.871813,0.91983,0.949294,0.932697,0.931325,0.666537,0.719475,0.774709,0.747393,0.771324,0.760749,0.812327,0.63497,0.646086,0.636189,0.644168,0.701283,0.747331,0.811801,0.833985,0.803712
fsi_1a80e11603e8,0.190219,0.423645,0.501814,0.657323,0.360341,0.564085,0.282467,0.27012,0.35986,0.318661,0.408516,0.135365,0.102013,6.1e-05,0,0,0,0,0,0,0,0,0,0,0.829481,0.872631,0.734731,0.295978,0.392646,0.517026,0.380632,0.335397,0.303857,0.266162,0.312091,0.240089,0.09746,0.326945,0.510495,0.572307,0.731337,0.638976,0.560924,0.572301,0.645671,0.782933,0.862524,0.740893,0.309749,0.484745,0.476318,0.480599,0.557189,0.654075,0.742346,0.725017,0.684355,0.388949,0.453788,0.541532,0.522422,0.579258,0.647508,0.739277,0.784288,0.802009,0.85368,0.866335,0.724291,0.730215,0.774133,0.818214,0.833449,0.85762,0.886671,0.902574,0.913593,0.883918
